image,width,height,filter,strategy,threads,iterations,avg_ms,throughput_mpix_s,speedup_vs_sequential
1024.jpg,1024,1024,gaussian5,grid,8,12,25.080717,41.808056,3.620099
1024.jpg,1024,1024,blur5,sequential,1,12,87.035317,12.047707,1.000000
1024.jpg,1024,1024,blur5,pixels,1,12,106.888108,9.810034,0.814266
1024.jpg,1024,1024,blur5,pixels,2,12,70.709600,14.829330,1.230884
1024.jpg,1024,1024,blur5,pixels,4,12,51.092258,20.523188,1.703493
1024.jpg,1024,1024,blur5,pixels,8,12,41.691433,25.150874,2.087607
1024.jpg,1024,1024,blur5,rows,1,12,87.750808,11.949474,0.991846
1024.jpg,1024,1024,blur5,rows,2,12,47.036408,22.292859,1.850382
1024.jpg,1024,1024,blur5,rows,4,12,28.190550,37.196011,3.087393
1024.jpg,1024,1024,blur5,rows,8,12,25.437258,41.222053,3.421568
1024.jpg,1024,1024,blur5,columns,1,12,88.223317,11.885475,0.986534
1024.jpg,1024,1024,blur5,columns,2,12,46.207058,22.692983,1.883594
1024.jpg,1024,1024,blur5,columns,4,12,28.900975,36.281683,3.011501
1024.jpg,1024,1024,blur5,columns,8,12,25.307600,41.433245,3.439098
1024.jpg,1024,1024,blur5,grid,1,12,87.304142,12.010610,0.996921
1024.jpg,1024,1024,blur5,grid,2,12,44.390217,23.621782,1.960687
1024.jpg,1024,1024,blur5,grid,4,12,30.968375,33.859574,2.810458
1024.jpg,1024,1024,blur5,grid,8,12,25.039642,41.876638,3.475901
1024.jpg,1024,1024,sharpen3,sequential,1,12,36.914892,28.405230,1.000000
1024.jpg,1024,1024,sharpen3,pixels,1,12,54.909975,19.096275,0.672280
1024.jpg,1024,1024,sharpen3,pixels,2,12,49.178250,21.321946,0.750635
1024.jpg,1024,1024,sharpen3,pixels,4,12,43.713292,23.987578,0.844478
1024.jpg,1024,1024,sharpen3,pixels,8,12,32.176983,32.587766,1.147245
1024.jpg,1024,1024,sharpen3,rows,1,12,38.522817,27.219609,0.958260
1024.jpg,1024,1024,sharpen3,rows,2,12,20.033517,52.341085,1.842657
1024.jpg,1024,1024,sharpen3,rows,4,12,12.785175,82.014990,2.887320
1024.jpg,1024,1024,sharpen3,rows,8,12,11.266850,93.067361,3.276416
1024.jpg,1024,1024,sharpen3,columns,1,12,39.268525,26.702709,0.940063
1024.jpg,1024,1024,sharpen3,columns,2,12,20.484817,51.187961,1.802061
1024.jpg,1024,1024,sharpen3,columns,4,12,19.833950,52.867734,1.861197
1024.jpg,1024,1024,sharpen3,columns,8,12,12.445642,84.252466,2.966090
1024.jpg,1024,1024,sharpen3,grid,1,12,39.117675,26.805683,0.943688
1024.jpg,1024,1024,sharpen3,grid,2,12,20.739017,50.560546,1.779973
1024.jpg,1024,1024,sharpen3,grid,4,12,13.846183,75.730328,2.666070
1024.jpg,1024,1024,sharpen3,grid,8,12,11.853817,88.458935,3.114178
1024.jpg,1024,1024,motion9,sequential,1,12,252.894983,4.146290,1.000000
1024.jpg,1024,1024,motion9,pixels,1,12,266.711967,3.931492,0.948195
1024.jpg,1024,1024,motion9,pixels,2,12,163.812442,6.401077,1.543808
1024.jpg,1024,1024,motion9,pixels,4,12,98.477617,10.647861,2.568045
1024.jpg,1024,1024,motion9,pixels,8,12,83.215317,12.600757,3.039044
1024.jpg,1024,1024,motion9,rows,1,12,259.681800,4.037926,0.973865
1024.jpg,1024,1024,motion9,rows,2,12,136.922658,7.658163,1.846991
1024.jpg,1024,1024,motion9,rows,4,12,83.014542,12.631233,3.046394
1024.jpg,1024,1024,motion9,rows,8,12,70.530525,14.866981,3.585610
1024.jpg,1024,1024,motion9,columns,1,12,254.731767,4.116393,0.992789
1024.jpg,1024,1024,motion9,columns,2,12,138.621267,7.564323,1.824359
1024.jpg,1024,1024,motion9,columns,4,12,80.939292,12.955092,3.124502
1024.jpg,1024,1024,motion9,columns,8,12,70.710392,14.829164,3.576490
1024.jpg,1024,1024,motion9,grid,1,12,258.999167,4.048569,0.976432
1024.jpg,1024,1024,motion9,grid,2,12,139.841292,7.498329,1.808443
1024.jpg,1024,1024,motion9,grid,4,12,80.918825,12.958369,3.125292
1024.jpg,1024,1024,motion9,grid,8,12,71.819642,14.600129,3.521251
1024.jpg,1024,1024,median3,sequential,1,12,68.246333,15.364576,1.000000
1024.jpg,1024,1024,median3,pixels,1,12,70.984558,14.771889,0.961425
1024.jpg,1024,1024,median3,pixels,2,12,61.449808,17.063943,1.110603
1024.jpg,1024,1024,median3,pixels,4,12,46.938375,22.339418,1.453956
1024.jpg,1024,1024,median3,pixels,8,12,34.734375,30.188423,1.964807
1024.jpg,1024,1024,median3,rows,1,12,70.514550,14.870349,0.967833
1024.jpg,1024,1024,median3,rows,2,12,38.688333,27.103158,1.764003
1024.jpg,1024,1024,median3,rows,4,12,21.867342,47.951691,3.120925
1024.jpg,1024,1024,median3,rows,8,12,16.654217,62.961592,4.097841
1024.jpg,1024,1024,median3,columns,1,12,73.619392,14.243204,0.927016
1024.jpg,1024,1024,median3,columns,2,12,39.410000,26.606851,1.731701
1024.jpg,1024,1024,median3,columns,4,12,23.464683,44.687413,2.908470
1024.jpg,1024,1024,median3,columns,8,12,17.969883,58.351854,3.797817
1024.jpg,1024,1024,median3,grid,1,12,70.145225,14.948644,0.972929
1024.jpg,1024,1024,median3,grid,2,12,36.918475,28.402473,1.848569
1024.jpg,1024,1024,median3,grid,4,12,22.240975,47.146135,3.068496
1024.jpg,1024,1024,median3,grid,8,12,17.453783,60.077290,3.910117
1024.jpg,1024,1024,median5,sequential,1,12,300.931192,3.484438,1.000000
1024.jpg,1024,1024,median5,pixels,1,12,293.260642,3.575577,1.026156
1024.jpg,1024,1024,median5,pixels,2,12,174.354308,6.014053,1.725975
1024.jpg,1024,1024,median5,pixels,4,12,102.376033,10.242397,2.939469
1024.jpg,1024,1024,median5,pixels,8,12,78.218567,13.405717,3.847312
